"Species","Depth_bin","p"
"Basking shark","440",0.00299595170192379
"Basking shark","450",0.00354699782486817
"Basking shark","460",0.0036350261710969
"Basking shark","470",0.00403037638141091
"Basking shark","480",0.00421972917065983
"Basking shark","490",0.00311228591300889
"Basking shark","500",0.00471209259271241
"Basking shark","510",0.00378228424413032
"Basking shark","520",0.00380525105478782
"Basking shark","530",0.00407392452295086
"Basking shark","540",0.00481061278557284
"Basking shark","550",0.00406072750116778
"Basking shark","560",0.00472475928509132
"Basking shark","570",0.00402929280021523
"Basking shark","580",0.00382625774112192
"Basking shark","590",0.00365907689940519
"Basking shark","600",0.00404553044646276
"Basking shark","610",0.00352811855706819
"Basking shark","620",0.00408295461927725
"Basking shark","630",0.00384477477361174
"Basking shark","640",0.00353976540484428
"Basking shark","650",0.00309867589769315
"Basking shark","660",0.00342972086106718
"Basking shark","670",0.00418307943031524
"Basking shark","680",0.00428433879561245
"Basking shark","690",0.0039323998942188
"Basking shark","700",0.00472249442330751
"Basking shark","710",0.00492723864704773
"Basking shark","720",0.005083470210158
"Basking shark","730",0.00453906612484473
"Basking shark","740",0.00499558625534437
"Basking shark","750",0.00456825001958908
"Basking shark","760",0.00435981004043244
"Basking shark","770",0.00371116546494136
"Basking shark","780",0.0042576314343899
"Basking shark","790",0.00322285481368334
"Basking shark","800",0.00329192763138952
"Basking shark","810",0.00243840950159654
"Basking shark","820",0.00251532515557781
"Basking shark","830",0.00213209339338657
"Basking shark","840",0.00206876525241817
"Basking shark","850",0.00153190394895032
"Basking shark","860",0.00154536053456712
"Basking shark","870",0.00121316640951178
"Basking shark","880",0.00075016389562008
"Basking shark","890",0.0007489147167021
"Basking shark","900",0.000766150319115413
"Basking shark","910",0.000553320874144642
"Basking shark","920",0.000668645856585273
"Basking shark","930",0.000746189746589575
"Basking shark","940",0.000559781181005214
"Basking shark","950",0.000542526633800377
"Basking shark","960",0.000504286947646701
"Basking shark","970",0.000440079421566002
"Basking shark","980",0.000302235447160676
"Basking shark","990",0.000188032406569358
"Basking shark","1000",0.000190695656622948
"Basking shark","1010",0.000261722218400858
"Basking shark","1020",0.000129744169381971
"Basking shark","1030",0.000222587758450093
"Basking shark","1040",0.000164246752979466
"Basking shark","1050",7.36362430116383e-05
"Basking shark","1060",7.54244451379853e-05
"Basking shark","1070",3.69841422790896e-05
"Basking shark","1080",3.03621212414779e-05
"Basking shark","1090",2.34140948353289e-05
"Basking shark","1100",1.37072335838789e-05
"Basking shark","1110",1.59990191609919e-05
"Basking shark","1120",1.19461099593597e-05
"Basking shark","1130",7.37125590118001e-06
"Basking shark","1140",5.10899530690142e-06
"Basking shark","1150",6.62038185415374e-06
"Basking shark","1160",4.20785437333044e-06
"Basking shark","1170",1.08946525045834e-05
"Basking shark","1180",3.33374505791386e-06
"Basking shark","1190",3.22034788531828e-06
"Basking shark","1200",3.64817986743289e-06
"Basking shark","1210",3.18791271368252e-06
"Basking shark","1220",6.16702434207824e-06
"Basking shark","1230",2.81171566793797e-06
"Basking shark","1240",1.96052260790893e-06
